,Question ID,True positives,False negatives,False positives,Precision,Recall,F1 score
Ngram ranker,1949,2.0,1.0,3.0,0.4,0.667,0.5
Other ranker,,1.0,2.0,4.0,0.2,0.333,0.25
Composite ranker,,1.0,2.0,4.0,0.2,0.333,0.25

Ngram ranker,1961,3.0,0.0,2.0,0.6,1.0,0.75
Other ranker,,1.0,2.0,4.0,0.2,0.333,0.25
Composite ranker,,3.0,0.0,2.0,0.6,1.0,0.75

Ngram ranker,1970,1.0,4.0,4.0,0.2,0.2,0.2
Other ranker,,0.0,5.0,5.0,0.0,0.0,0.0
Composite ranker,,1.0,4.0,4.0,0.2,0.2,0.2

Ngram ranker,1997,2.0,0.0,3.0,0.4,1.0,0.571
Other ranker,,2.0,0.0,3.0,0.4,1.0,0.571
Composite ranker,,2.0,0.0,3.0,0.4,1.0,0.571

Ngram ranker,2073,2.0,5.0,3.0,0.4,0.286,0.333
Other ranker,,3.0,4.0,2.0,0.6,0.429,0.5
Composite ranker,,3.0,4.0,2.0,0.6,0.429,0.5

Ngram ranker,2162,0.0,0.0,5.0,0.0,0.0,0.0
Other ranker,,0.0,0.0,5.0,0.0,0.0,0.0
Composite ranker,,0.0,0.0,5.0,0.0,0.0,0.0

Ngram ranker,2184,4.0,7.0,1.0,0.8,0.364,0.5
Other ranker,,4.0,7.0,1.0,0.8,0.364,0.5
Composite ranker,,4.0,7.0,1.0,0.8,0.364,0.5

Ngram ranker,2271,2.0,1.0,3.0,0.4,0.667,0.5
Other ranker,,1.0,2.0,4.0,0.2,0.333,0.25
Composite ranker,,1.0,2.0,4.0,0.2,0.333,0.25

Ngram ranker,2293,4.0,1.0,1.0,0.8,0.8,0.8
Other ranker,,4.0,1.0,1.0,0.8,0.8,0.8
Composite ranker,,4.0,1.0,1.0,0.8,0.8,0.8

Ngram ranker,2317,1.0,0.0,4.0,0.2,1.0,0.333
Other ranker,,1.0,0.0,4.0,0.2,1.0,0.333
Composite ranker,,1.0,0.0,4.0,0.2,1.0,0.333


Additional statistics for Ngram ranker:

MAP = 0.542
MRR = 0.595
Micro-average F1 = 0.449
Macro-average F1 = 0.467
TP total = 21.0
FP total = 29.0
FN total = 19.0

Additional statistics for Other ranker:

MAP = 0.459
MRR = 0.495
Micro-average F1 = 0.345
Macro-average F1 = 0.378
TP total = 17.0
FP total = 33.0
FN total = 23.0

Additional statistics for Composite ranker:

MAP = 0.535
MRR = 0.645
Micro-average F1 = 0.415
Macro-average F1 = 0.444
TP total = 20.0
FP total = 30.0
FN total = 20.0

